VCASN: 69 ITHR: 51
0 6 176.39 7.51 28.04
0 125 186.57 10.55 27.49
0 128 167.98 9.89 27.46
0 132 155.43 12.52 27.44
0 233 173.37 9.23 27.51
0 270 174.72 9.11 27.44
0 278 160.98 10.42 28.09
0 285 162.58 9.41 27.39
0 301 164.32 11.40 27.98
0 412 162.52 7.92 27.38
0 455 166.80 8.24 27.47
0 464 185.92 10.31 27.32
0 532 163.78 9.35 27.76
0 533 189.27 7.26 27.47
0 616 187.82 10.88 27.47
0 627 163.57 8.40 27.41
0 656 164.02 12.79 27.50
0 706 147.12 9.71 27.41
0 741 174.30 9.50 27.31
0 745 172.48 11.11 27.89
0 763 167.30 12.88 27.74
0 780 167.89 9.81 27.47
0 809 188.14 9.77 27.39
0 893 173.84 12.88 27.58
0 949 191.49 8.20 27.30
0 970 186.42 9.17 27.49
0 995 200.06 8.47 27.50
0 1000 168.67 6.71 27.34
0 1006 188.24 10.00 27.61
1 20 175.05 10.38 27.69
1 31 151.75 8.42 27.56
1 60 192.52 7.47 27.66
1 65 159.89 12.39 27.51
1 67 150.95 12.40 27.68
1 73 204.86 10.86 27.50
1 136 171.58 9.83 27.44
1 163 174.72 9.51 27.60
1 170 164.21 9.34 27.36
1 195 212.53 10.38 27.48
1 221 168.26 7.73 27.31
1 443 187.46 10.03 27.47
1 461 179.94 13.66 27.72
1 530 178.09 9.01 27.64
1 538 169.00 8.73 27.56
1 554 202.66 12.61 27.49
1 593 197.56 13.10 27.67
1 605 175.51 10.11 27.76
1 608 168.98 9.70 27.44
1 613 209.91 7.87 27.37
1 638 158.01 8.71 28.84
1 719 179.54 9.96 27.66
1 720 203.09 8.59 27.31
1 752 184.41 9.51 27.55
1 764 147.04 9.87 27.49
1 781 186.46 9.31 27.37
1 836 188.15 12.44 27.53
1 862 192.45 11.69 27.52
1 877 125.23 10.33 27.48
1 889 159.81 9.02 27.48
1 910 186.68 8.62 27.38
1 912 186.33 12.10 27.72
1 954 175.05 7.49 27.35
1 965 173.11 11.10 27.54
1 978 166.41 10.32 28.96
1 1021 215.12 8.88 27.58
2 14 158.73 10.73 28.76
2 39 1069.76 10.00 0.01
2 54 166.21 7.51 27.38
2 61 206.42 8.82 27.46
2 93 167.54 8.47 27.60
2 117 182.10 11.45 27.81
2 125 167.88 9.40 27.45
2 151 222.23 10.57 27.48
2 181 175.01 9.23 27.51
2 203 175.79 7.15 27.69
2 217 141.18 9.66 27.73
2 234 161.03 11.45 27.84
2 322 183.68 10.77 27.40
2 326 185.86 10.08 27.51
2 327 171.07 7.91 27.47
2 379 143.91 8.89 27.44
2 398 160.32 8.90 27.48
2 416 157.10 8.58 27.52
2 417 155.46 9.97 27.50
2 438 168.43 10.01 27.60
2 493 191.42 7.01 27.56
2 499 175.91 9.84 27.55
2 558 156.04 7.89 27.61
2 597 166.90 9.86 27.47
2 630 177.36 8.40 27.37
2 672 172.31 10.62 28.16
2 713 160.59 7.78 27.69
2 851 166.38 9.29 27.49
2 976 194.17 5.37 27.82
3 21 205.68 10.47 27.44
3 78 198.81 8.81 27.90
3 138 182.73 9.50 27.71
3 143 164.56 12.61 27.92
3 145 184.05 8.22 27.40
3 232 188.62 8.10 27.40
3 308 161.04 7.81 27.35
3 347 180.76 11.52 27.36
3 377 195.75 10.93 27.49
3 410 214.35 9.73 27.37
3 432 152.55 7.26 27.42
3 452 197.98 8.61 27.36
3 536 154.60 7.26 27.55
3 614 154.52 8.98 27.40
3 657 186.35 10.47 27.49
3 714 170.27 11.74 27.83
3 718 181.41 8.79 27.56
3 749 184.65 9.66 27.48
3 802 165.67 8.01 27.57
3 820 160.42 12.96 27.49
